Accession,Assay.title,Biosample.classification,Biosample.summary,Biosample.term.name,Lab
ENCSR645ZPH,dilution Hi-C,cell line,Homo sapiens IMR-90,IMR-90,"Erez Aiden, Baylor"
ENCSR591SNM,intact Hi-C,tissue,Homo sapiens heart right ventricle tissue male adult (40 years),heart-right-ventricle,"Erez Aiden, Baylor"
ENCSR502GIO,intact Hi-C,tissue,Homo sapiens pancreas tissue female child (16 years),pancreas,"Erez Aiden, Baylor"
ENCSR967VFA,intact Hi-C,tissue,Homo sapiens heart left ventricle tissue male adult (43 years),heart-left-ventricle,"Erez Aiden, Baylor"
ENCSR046XXF,dilution Hi-C,cell line,Homo sapiens GM12878,GM12878,"Erez Aiden, Baylor"
ENCSR545YBD,in situ Hi-C,cell line,Homo sapiens K562,K562,"Erez Aiden, Baylor"
ENCSR080ODG,dilution Hi-C,primary cell,Homo sapiens mammary epithelial cell female,mammary-epithelial-cell,"Erez Aiden, Baylor"
ENCSR044YKV,intact Hi-C,tissue,Homo sapiens kidney tissue female adult (47 years),kidney,"Erez Aiden, Baylor"
ENCSR477GZK,intact Hi-C,cell line,Homo sapiens HCT116,HCT116,"Erez Aiden, Baylor"
ENCSR859DRK,intact Hi-C,cell line,Homo sapiens PC-9,PC-9,"Erez Aiden, Baylor"
ENCSR693GXU,in situ Hi-C,cell line,Homo sapiens HeLa-S3,HeLa-S3,"Job Dekker, UMass"
ENCSR173VDQ,intact Hi-C,tissue,Homo sapiens right cardiac atrium tissue female adult (59 years),right-cardiac-atrium,"Erez Aiden, Baylor"
ENCSR123ZFD,intact Hi-C,tissue,Homo sapiens sigmoid colon tissue female adult (53 years),sigmoid-colon,"Erez Aiden, Baylor"
ENCSR258OVY,intact Hi-C,tissue,Homo sapiens transverse colon tissue female adult (53 years),transverse-colon,"Erez Aiden, Baylor"
ENCSR194SRI,in situ Hi-C,cell line,Homo sapiens HepG2,HepG2,"Job Dekker, UMass"
ENCSR136MVS,intact Hi-C,tissue,Homo sapiens gastrocnemius medialis tissue female adult (53 years),gastrocnemius-medialis,"Erez Aiden, Baylor"
ENCSR439ILZ,intact Hi-C,tissue,Homo sapiens colonic mucosa tissue female adult (41 years),colonic-mucosa,"Erez Aiden, Baylor"
ENCSR782YIX,intact Hi-C,tissue,Homo sapiens ovary tissue female adult (59 years),ovary,"Erez Aiden, Baylor"
ENCSR395DZW,intact Hi-C,tissue,Homo sapiens placenta tissue female embryo,placenta,"Erez Aiden, Baylor"
ENCSR886JAM,intact Hi-C,tissue,Homo sapiens vagina tissue female adult (53 years),vagina,"Erez Aiden, Baylor"
ENCSR538PNC,intact Hi-C,tissue,Homo sapiens psoas muscle tissue female adult (61 years),psoas-muscle,"Erez Aiden, Baylor"
ENCSR797MWY,intact Hi-C,tissue,Homo sapiens aorta tissue female adult (41 years),aorta,"Erez Aiden, Baylor"
ENCSR015CVF,intact Hi-C,tissue,Homo sapiens esophagus squamous epithelium tissue female adult (53 years),esophagus-squamous-epithelium,"Erez Aiden, Baylor"
ENCSR326YHP,intact Hi-C,tissue,Homo sapiens breast epithelium tissue female adult (53 years),breast-epithelium,"Erez Aiden, Baylor"
ENCSR569OBN,intact Hi-C,tissue,Homo sapiens stomach tissue female adult (53 years),stomach,"Erez Aiden, Baylor"
ENCSR832NED,intact Hi-C,tissue,Homo sapiens adrenal gland tissue male adult (54 years),adrenal-gland,"Erez Aiden, Baylor"
ENCSR043XTM,intact Hi-C,tissue,Homo sapiens thyroid gland tissue female adult (53 years),thyroid-gland,"Erez Aiden, Baylor"
ENCSR274FJN,intact Hi-C,tissue,Homo sapiens esophagus muscularis mucosa tissue female adult (53 years),esophagus-muscularis-mucosa,"Erez Aiden, Baylor"
ENCSR584RBV,intact Hi-C,cell line,Homo sapiens Panc1,Panc1,"Erez Aiden, Baylor"
ENCSR660LPJ,intact Hi-C,cell line,Homo sapiens MCF-7,MCF-7,"Erez Aiden, Baylor"
ENCSR870SXX,intact Hi-C,tissue,Homo sapiens testis tissue male adult (54 years),testis,"Erez Aiden, Baylor"
ENCSR444WCZ,in situ Hi-C,cell line,Homo sapiens A549,A549,"Job Dekker, UMass"
ENCSR692QWS,intact Hi-C,tissue,Homo sapiens spleen tissue female adult (61 years),spleen,"Erez Aiden, Baylor"
ENCSR088BOG,intact Hi-C,cell line,Homo sapiens OCI-LY7,OCI-LY7,"Erez Aiden, Baylor"
ENCSR455KLX,intact Hi-C,cell line,Homo sapiens A673,A673,"Erez Aiden, Baylor"
ENCSR220MNC,in situ Hi-C,cell line,Homo sapiens GM23248,GM23248,"Erez Aiden, Baylor"
ENCSR998ZSP,in situ Hi-C,cell line,Homo sapiens SJCRH30,SJCRH30,"Job Dekker, UMass"
