Accession,Assay.title,Biosample.classification,Biosample.summary,Biosample.term.name,Lab
ENCSR797MWY,intact Hi-C,tissue,Homo sapiens aorta tissue female adult (41 years),aorta,"Erez Aiden, Baylor"
ENCSR274FJN,intact Hi-C,tissue,Homo sapiens esophagus muscularis mucosa tissue female adult (53 years),esophagus-muscularis-mucosa,"Erez Aiden, Baylor"
ENCSR220MNC,in situ Hi-C,cell line,Homo sapiens GM23248,GM23248,"Erez Aiden, Baylor"
ENCSR477GZK,intact Hi-C,cell line,Homo sapiens HCT116,HCT116,"Erez Aiden, Baylor"
ENCSR591SNM,intact Hi-C,tissue,Homo sapiens heart right ventricle tissue male adult (40 years),heart-right-ventricle,"Erez Aiden, Baylor"
ENCSR044YKV,intact Hi-C,tissue,Homo sapiens kidney tissue female adult (47 years),kidney,"Erez Aiden, Baylor"
ENCSR660LPJ,intact Hi-C,cell line,Homo sapiens MCF-7,MCF-7,"Erez Aiden, Baylor"
ENCSR088BOG,intact Hi-C,cell line,Homo sapiens OCI-LY7,OCI-LY7,"Erez Aiden, Baylor"
ENCSR782YIX,intact Hi-C,tissue,Homo sapiens ovary tissue female adult (59 years),ovary,"Erez Aiden, Baylor"
ENCSR584RBV,intact Hi-C,cell line,Homo sapiens Panc1,Panc1,"Erez Aiden, Baylor"
ENCSR502GIO,intact Hi-C,tissue,Homo sapiens pancreas tissue female child (16 years),pancreas,"Erez Aiden, Baylor"
ENCSR859DRK,intact Hi-C,cell line,Homo sapiens PC-9,PC-9,"Erez Aiden, Baylor"
ENCSR538PNC,intact Hi-C,tissue,Homo sapiens psoas muscle tissue female adult (61 years),psoas-muscle,"Erez Aiden, Baylor"
ENCSR123ZFD,intact Hi-C,tissue,Homo sapiens sigmoid colon tissue female adult (53 years),sigmoid-colon,"Erez Aiden, Baylor"
ENCSR043XTM,intact Hi-C,tissue,Homo sapiens thyroid gland tissue female adult (53 years),thyroid-gland,"Erez Aiden, Baylor"
